run_id,cell_id,condition,family,inheritance_mode,seed,window_end_tick,phase,population,mean_generation,births,deaths,total_stock,suppressed_fraction,coverage_realised,opportunities__train__m0__c0,opportunities__train__m0__c1,opportunities__train__m1__c0,opportunities__train__m1__c1,opportunities__heldout__m0__c0,opportunities__heldout__m0__c1,opportunities__heldout__m1__c0,opportunities__heldout__m1__c1,defections__train__m0__c0,defections__train__m0__c1,defections__train__m1__c0,defections__train__m1__c1,defections__heldout__m0__c0,defections__heldout__m0__c1,defections__heldout__m1__c0,defections__heldout__m1__c1,penalties__train__m0__c0,penalties__train__m0__c1,penalties__train__m1__c0,penalties__train__m1__c1,penalties__heldout__m0__c0,penalties__heldout__m0__c1,penalties__heldout__m1__c0,penalties__heldout__m1__c1
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,50,train,50,0.64,33,3,68.25689500353877,0.8125,0.5,245.0,110.0,100.0,162.0,42.0,28.0,0.0,0.0,33.0,17.0,16.0,22.0,17.0,9.0,0.0,0.0,0.0,0.0,16.0,22.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,100,train,50,0.82,11,11,60.02208679865462,0.875,0.5,191.0,106.0,112.0,251.0,32.0,11.0,0.0,0.0,15.0,19.0,15.0,26.0,12.0,3.0,0.0,0.0,0.0,0.0,15.0,26.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,150,train,50,1.04,12,12,68.27024141358079,0.8541666666666666,0.5,331.0,188.0,151.0,290.0,53.0,46.0,0.0,0.0,23.0,23.0,17.0,25.0,10.0,9.0,0.0,0.0,0.0,0.0,17.0,25.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,200,train,50,1.04,19,19,87.40580399727159,0.8541666666666666,0.5,395.0,212.0,151.0,292.0,41.0,13.0,0.0,0.0,32.0,18.0,16.0,28.0,12.0,1.0,0.0,0.0,0.0,0.0,16.0,28.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,250,train,50,1.02,8,8,165.66461925735734,0.5625,0.5,328.0,219.0,164.0,302.0,52.0,25.0,0.0,0.0,34.0,9.0,11.0,14.0,12.0,6.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,300,train,50,0.88,7,7,61.78087888370487,0.9166666666666666,0.5,383.0,188.0,166.0,286.0,40.0,26.0,0.0,0.0,40.0,17.0,16.0,21.0,16.0,11.0,0.0,0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,350,train,50,0.9,7,7,113.84205184805293,0.6875,0.5,355.0,185.0,178.0,370.0,23.0,9.0,0.0,0.0,36.0,10.0,12.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,400,train,50,0.9,11,11,92.73668404979584,0.7708333333333334,0.5,418.0,220.0,204.0,414.0,79.0,35.0,0.0,0.0,32.0,6.0,13.0,19.0,18.0,6.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,450,train,50,0.94,5,5,80.0615268023238,0.8125,0.5,386.0,230.0,271.0,473.0,33.0,24.0,0.0,0.0,32.0,17.0,22.0,20.0,11.0,6.0,0.0,0.0,0.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,500,train,50,1.28,13,13,121.13252951763607,0.6458333333333334,0.5,390.0,202.0,223.0,410.0,67.0,32.0,0.0,0.0,31.0,8.0,12.0,25.0,9.0,7.0,0.0,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,550,train,50,1.48,14,14,37.43479426308515,0.9166666666666666,0.5,385.0,248.0,168.0,288.0,41.0,15.0,0.0,0.0,47.0,16.0,23.0,28.0,15.0,4.0,0.0,0.0,0.0,0.0,23.0,28.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,600,train,50,1.7,14,14,83.34690643900494,0.8125,0.5,222.0,127.0,123.0,240.0,43.0,22.0,0.0,0.0,32.0,5.0,15.0,18.0,11.0,3.0,0.0,0.0,0.0,0.0,15.0,18.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,650,train,50,1.88,11,11,65.8924422557894,0.875,0.5,339.0,171.0,166.0,303.0,39.0,20.0,0.0,0.0,30.0,8.0,21.0,16.0,16.0,7.0,0.0,0.0,0.0,0.0,21.0,16.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,700,train,50,1.84,22,22,80.0476516496636,0.8541666666666666,0.5,251.0,143.0,148.0,273.0,24.0,20.0,0.0,0.0,30.0,11.0,23.0,17.0,12.0,11.0,0.0,0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,750,train,50,1.9,18,18,63.644277946460264,0.8958333333333334,0.5,299.0,178.0,195.0,369.0,37.0,27.0,0.0,0.0,30.0,15.0,26.0,17.0,10.0,7.0,0.0,0.0,0.0,0.0,26.0,17.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,800,train,50,1.92,22,22,54.79144832634826,0.9583333333333334,0.5,245.0,152.0,194.0,304.0,33.0,13.0,0.0,0.0,34.0,16.0,17.0,21.0,19.0,6.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,850,train,50,2.12,14,14,52.65968458476118,0.9583333333333334,0.5,276.0,156.0,153.0,266.0,85.0,56.0,0.0,0.0,56.0,16.0,17.0,12.0,12.0,5.0,0.0,0.0,0.0,0.0,17.0,12.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,900,train,39,2.1794871794871793,12,23,71.83590643636023,0.9375,0.5,278.0,135.0,187.0,294.0,58.0,32.0,0.0,0.0,29.0,14.0,25.0,16.0,9.0,4.0,0.0,0.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,950,train,49,2.7346938775510203,26,16,102.1961782676224,0.7083333333333334,0.5,322.0,177.0,224.0,380.0,41.0,23.0,0.0,0.0,28.0,8.0,26.0,20.0,15.0,5.0,0.0,0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1000,train,50,2.96,14,13,49.06929342759118,0.9375,0.5,453.0,233.0,171.0,391.0,45.0,23.0,0.0,0.0,53.0,13.0,20.0,20.0,14.0,6.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1050,train,50,3.16,15,15,64.40806312782058,0.8958333333333334,0.5,330.0,177.0,242.0,441.0,30.0,27.0,0.0,0.0,39.0,8.0,25.0,18.0,13.0,9.0,0.0,0.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1100,train,50,3.3,15,15,92.11481723338002,0.8541666666666666,0.5,413.0,212.0,167.0,352.0,28.0,16.0,0.0,0.0,45.0,16.0,17.0,16.0,14.0,1.0,0.0,0.0,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1150,train,50,3.3,22,22,48.732310566359686,0.9375,0.5,330.0,157.0,288.0,437.0,34.0,26.0,0.0,0.0,43.0,11.0,33.0,31.0,13.0,7.0,0.0,0.0,0.0,0.0,33.0,31.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1200,train,49,3.3469387755102042,16,17,70.0148156913426,0.8333333333333334,0.5,300.0,190.0,187.0,336.0,57.0,36.0,0.0,0.0,34.0,12.0,19.0,25.0,16.0,5.0,0.0,0.0,0.0,0.0,19.0,25.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1250,train,50,3.48,19,18,72.30093651667862,0.9375,0.5,414.0,235.0,224.0,470.0,70.0,37.0,0.0,0.0,35.0,10.0,16.0,26.0,14.0,5.0,0.0,0.0,0.0,0.0,16.0,26.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1300,train,41,3.5121951219512195,9,18,69.03989317192705,0.9166666666666666,0.5,291.0,165.0,188.0,350.0,45.0,20.0,0.0,0.0,38.0,11.0,18.0,24.0,19.0,2.0,0.0,0.0,0.0,0.0,18.0,24.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1350,train,48,3.8333333333333335,20,13,77.30638207673128,0.8541666666666666,0.5,347.0,183.0,178.0,313.0,77.0,41.0,0.0,0.0,45.0,10.0,19.0,20.0,11.0,2.0,0.0,0.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1400,train,50,3.88,17,15,85.4095846168787,0.8333333333333334,0.5,281.0,130.0,259.0,446.0,110.0,63.0,0.0,0.0,35.0,7.0,24.0,21.0,17.0,3.0,0.0,0.0,0.0,0.0,24.0,21.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1450,train,50,4.22,13,13,82.16787879146443,0.7916666666666666,0.5,471.0,235.0,258.0,423.0,36.0,21.0,0.0,0.0,36.0,9.0,13.0,29.0,15.0,4.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1500,train,50,4.3,11,11,80.05085074542151,0.8125,0.5,474.0,253.0,334.0,582.0,30.0,20.0,0.0,0.0,45.0,9.0,16.0,23.0,10.0,5.0,0.0,0.0,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1550,eval,50,4.32,16,16,64.03048761403087,0.9375,0.5,394.0,214.0,235.0,467.0,16.0,12.0,25.0,35.0,31.0,16.0,21.0,26.0,4.0,3.0,7.0,10.0,0.0,0.0,21.0,26.0,0.0,0.0,7.0,10.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1600,eval,50,4.56,16,16,127.94558669207812,0.6458333333333334,0.5,461.0,250.0,198.0,377.0,22.0,10.0,15.0,42.0,27.0,13.0,15.0,22.0,5.0,2.0,1.0,6.0,0.0,0.0,15.0,22.0,0.0,0.0,1.0,6.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1650,eval,50,4.68,10,10,159.40345677663623,0.5416666666666666,0.5,570.0,314.0,242.0,501.0,30.0,18.0,25.0,59.0,32.0,10.0,15.0,19.0,5.0,2.0,2.0,5.0,0.0,0.0,15.0,19.0,0.0,0.0,2.0,5.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1700,eval,50,4.74,4,4,114.99686404231001,0.6458333333333334,0.5,670.0,342.0,310.0,557.0,43.0,29.0,25.0,46.0,36.0,7.0,21.0,11.0,4.0,2.0,8.0,2.0,0.0,0.0,21.0,11.0,0.0,0.0,8.0,2.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1750,eval,50,4.82,10,10,128.1253418204672,0.6458333333333334,0.5,622.0,306.0,273.0,572.0,49.0,24.0,31.0,68.0,33.0,12.0,20.0,16.0,4.0,1.0,3.0,1.0,0.0,0.0,20.0,16.0,0.0,0.0,3.0,1.0
C3_f0.3__lamarckian__s1,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,1,1800,eval,50,4.82,11,11,140.91062569116878,0.5833333333333334,0.5,618.0,332.0,239.0,416.0,65.0,44.0,48.0,108.0,25.0,24.0,18.0,20.0,2.0,0.0,4.0,5.0,0.0,0.0,18.0,20.0,0.0,0.0,4.0,5.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,50,train,50,0.84,31,1,49.40794076874611,0.875,0.5,122.0,76.0,69.0,134.0,47.0,31.0,0.0,0.0,35.0,23.0,13.0,19.0,17.0,12.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,100,train,42,1.0238095238095237,8,16,57.83251952505843,0.9375,0.5,221.0,126.0,84.0,185.0,51.0,33.0,0.0,0.0,36.0,20.0,10.0,23.0,15.0,11.0,0.0,0.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,150,train,44,1.4772727272727273,20,18,118.28779158392763,0.6666666666666666,0.5,278.0,146.0,119.0,254.0,56.0,27.0,0.0,0.0,21.0,17.0,11.0,29.0,7.0,6.0,0.0,0.0,0.0,0.0,11.0,29.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,200,train,50,1.78,21,15,124.33290712399736,0.6875,0.5,256.0,167.0,141.0,284.0,40.0,29.0,0.0,0.0,26.0,12.0,13.0,24.0,8.0,7.0,0.0,0.0,0.0,0.0,13.0,24.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,250,train,50,2.04,12,12,84.2595675355533,0.8333333333333334,0.5,354.0,210.0,181.0,361.0,33.0,24.0,0.0,0.0,30.0,23.0,16.0,23.0,7.0,6.0,0.0,0.0,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,300,train,50,2.08,19,19,93.97653090014803,0.8125,0.5,317.0,165.0,198.0,492.0,81.0,58.0,0.0,0.0,22.0,5.0,22.0,30.0,17.0,11.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,350,train,50,2.02,14,14,113.12237010213839,0.7083333333333334,0.5,483.0,267.0,152.0,313.0,90.0,47.0,0.0,0.0,39.0,6.0,8.0,22.0,19.0,7.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,400,train,50,1.9,9,9,96.33033011373689,0.75,0.5,377.0,217.0,226.0,385.0,101.0,74.0,0.0,0.0,31.0,12.0,16.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,450,train,50,1.76,8,8,117.19925950564416,0.6666666666666666,0.5,504.0,275.0,200.0,389.0,85.0,32.0,0.0,0.0,42.0,12.0,18.0,17.0,17.0,2.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,500,train,50,1.92,9,9,88.41814777330907,0.7291666666666666,0.5,292.0,171.0,190.0,316.0,92.0,61.0,0.0,0.0,32.0,6.0,16.0,16.0,17.0,2.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,550,train,50,2.26,11,11,114.43377323185359,0.7083333333333334,0.5,295.0,164.0,194.0,357.0,120.0,56.0,0.0,0.0,39.0,7.0,20.0,20.0,15.0,5.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,600,train,50,2.34,4,4,103.17893608618651,0.7916666666666666,0.5,385.0,215.0,197.0,336.0,89.0,42.0,0.0,0.0,41.0,12.0,11.0,13.0,19.0,5.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,650,train,50,2.46,13,13,70.33780157091633,0.8333333333333334,0.5,335.0,158.0,149.0,310.0,107.0,67.0,0.0,0.0,37.0,12.0,21.0,17.0,17.0,7.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,700,train,50,2.66,17,17,58.638583381703135,0.9375,0.5,198.0,96.0,170.0,296.0,80.0,44.0,0.0,0.0,32.0,9.0,26.0,25.0,12.0,8.0,0.0,0.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,750,train,50,2.66,19,19,95.50250311816306,0.7916666666666666,0.5,359.0,196.0,113.0,222.0,71.0,37.0,0.0,0.0,29.0,14.0,18.0,18.0,16.0,5.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,800,train,50,2.62,11,11,89.49095748720592,0.75,0.5,273.0,153.0,158.0,336.0,73.0,35.0,0.0,0.0,39.0,10.0,17.0,17.0,22.0,2.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,850,train,50,2.5,17,17,65.03745242724763,0.875,0.5,256.0,135.0,167.0,322.0,72.0,51.0,0.0,0.0,31.0,17.0,17.0,30.0,20.0,4.0,0.0,0.0,0.0,0.0,17.0,30.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,900,train,50,2.54,17,17,84.21181165483098,0.8125,0.5,277.0,156.0,148.0,309.0,101.0,51.0,0.0,0.0,33.0,11.0,20.0,22.0,17.0,4.0,0.0,0.0,0.0,0.0,20.0,22.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,950,train,50,2.7,15,15,67.70166137046508,0.8541666666666666,0.5,385.0,226.0,197.0,397.0,135.0,70.0,0.0,0.0,35.0,18.0,17.0,19.0,23.0,3.0,0.0,0.0,0.0,0.0,17.0,19.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1000,train,50,2.96,19,19,64.8217149940663,0.9375,0.5,321.0,163.0,176.0,370.0,81.0,36.0,0.0,0.0,22.0,10.0,13.0,32.0,26.0,2.0,0.0,0.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1050,train,50,3.38,21,21,60.22060684288229,0.8958333333333334,0.5,253.0,148.0,139.0,274.0,31.0,17.0,0.0,0.0,33.0,15.0,17.0,22.0,13.0,3.0,0.0,0.0,0.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1100,train,50,3.5,15,15,59.4816780680571,0.9583333333333334,0.5,375.0,202.0,161.0,256.0,64.0,32.0,0.0,0.0,40.0,12.0,15.0,23.0,20.0,4.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1150,train,50,3.68,17,17,69.60595709947157,0.9166666666666666,0.5,231.0,137.0,164.0,295.0,48.0,31.0,0.0,0.0,36.0,9.0,20.0,16.0,19.0,5.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1200,train,50,3.58,16,16,78.16050959101722,0.8333333333333334,0.5,310.0,169.0,160.0,235.0,55.0,46.0,0.0,0.0,38.0,7.0,21.0,15.0,18.0,6.0,0.0,0.0,0.0,0.0,21.0,15.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1250,train,50,3.62,14,14,63.54315118298291,0.8958333333333334,0.5,337.0,179.0,231.0,397.0,52.0,24.0,0.0,0.0,32.0,7.0,26.0,25.0,19.0,9.0,0.0,0.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1300,train,50,3.62,19,19,47.74292011164017,0.9166666666666666,0.5,291.0,165.0,167.0,315.0,37.0,20.0,0.0,0.0,40.0,13.0,24.0,19.0,16.0,6.0,0.0,0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1350,train,50,3.74,17,17,48.67138852186726,0.9375,0.5,236.0,127.0,126.0,227.0,33.0,15.0,0.0,0.0,32.0,13.0,17.0,27.0,18.0,8.0,0.0,0.0,0.0,0.0,17.0,27.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1400,train,44,4.068181818181818,20,26,45.96598537771013,0.9791666666666666,0.5,242.0,116.0,96.0,183.0,34.0,27.0,0.0,0.0,37.0,14.0,19.0,15.0,16.0,4.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1450,train,30,4.3,4,18,72.94718749315042,0.8958333333333334,0.5,255.0,132.0,109.0,192.0,34.0,24.0,0.0,0.0,37.0,15.0,19.0,19.0,18.0,11.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1500,train,41,5.219512195121951,23,12,113.67039538150942,0.7708333333333334,0.5,229.0,130.0,104.0,188.0,23.0,17.0,0.0,0.0,39.0,14.0,16.0,14.0,12.0,6.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1550,eval,41,5.341463414634147,19,19,118.24422429224026,0.7708333333333334,0.5,235.0,126.0,181.0,313.0,25.0,10.0,16.0,18.0,32.0,11.0,19.0,25.0,6.0,6.0,7.0,5.0,0.0,0.0,19.0,25.0,0.0,0.0,7.0,5.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1600,eval,50,5.42,13,4,88.41478750490064,0.8125,0.5,361.0,188.0,194.0,337.0,77.0,40.0,17.0,31.0,28.0,8.0,21.0,23.0,13.0,5.0,4.0,6.0,0.0,0.0,21.0,23.0,0.0,0.0,4.0,6.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1650,eval,50,5.28,7,7,156.12060347674412,0.5833333333333334,0.5,450.0,258.0,183.0,371.0,33.0,20.0,35.0,73.0,39.0,11.0,14.0,20.0,4.0,3.0,3.0,0.0,0.0,0.0,14.0,20.0,0.0,0.0,3.0,0.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1700,eval,50,5.26,1,1,174.02329424090271,0.3125,0.5,463.0,234.0,251.0,473.0,105.0,55.0,55.0,84.0,19.0,8.0,12.0,12.0,6.0,2.0,2.0,6.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,6.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1750,eval,50,5.3,4,4,149.13313709006124,0.4791666666666667,0.5,529.0,294.0,288.0,539.0,96.0,51.0,54.0,81.0,11.0,10.0,15.0,22.0,10.0,1.0,4.0,2.0,0.0,0.0,15.0,22.0,0.0,0.0,4.0,2.0
C3_f0.3__lamarckian__s2,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,2,1800,eval,50,5.32,1,1,192.86928402948297,0.3125,0.5,570.0,306.0,310.0,531.0,44.0,18.0,36.0,91.0,22.0,10.0,10.0,8.0,1.0,0.0,3.0,5.0,0.0,0.0,10.0,8.0,0.0,0.0,3.0,5.0
C3_f0.3__lamarckian__s3,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,3,50,train,50,0.9,35,5,65.17576353980232,0.9166666666666666,0.5,202.0,96.0,112.0,174.0,60.0,27.0,0.0,0.0,35.0,16.0,21.0,25.0,16.0,8.0,0.0,0.0,0.0,0.0,21.0,25.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s3,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,3,100,train,50,1.12,12,12,71.90403483870296,0.8958333333333334,0.5,215.0,109.0,119.0,231.0,50.0,20.0,0.0,0.0,29.0,13.0,21.0,15.0,11.0,4.0,0.0,0.0,0.0,0.0,21.0,15.0,0.0,0.0,0.0,0.0
C3_f0.3__lamarckian__s3,C3_f0.3__lamarckian,C3_f0.3,C3,lamarckian,3,150,train,50,1.08,19,19,77.91184575372358,0.8333333333333334,0.5,334.0,159.0,173.0,357.0,102.0,58.0,0.0,0.0,38.0,11.0,20.0,17.0,13.0,6.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0
