run_id,cell_id,condition,family,inheritance_mode,seed,coverage,fidelity,penalty,decorrelated,expected_penalty_per_defection,realised_enforcement,ticks_completed,extinct,final_population,total_agents,births,deaths,warmstart_applied,warmstart_skipped
C0__baldwinian__s1,C0__baldwinian,C0,C0,baldwinian,1,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,408,388,358,0,0
C0__baldwinian__s2,C0__baldwinian,C0,C0,baldwinian,2,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,386,366,336,0,0
C0__baldwinian__s3,C0__baldwinian,C0,C0,baldwinian,3,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,369,349,319,0,0
C0__baldwinian__s4,C0__baldwinian,C0,C0,baldwinian,4,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,409,389,359,0,0
C0__baldwinian__s5,C0__baldwinian,C0,C0,baldwinian,5,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,405,385,355,0,0
C0__baldwinian__s6,C0__baldwinian,C0,C0,baldwinian,6,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,396,376,346,0,0
C0__baldwinian__s7,C0__baldwinian,C0,C0,baldwinian,7,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,367,347,317,0,0
C0__baldwinian__s8,C0__baldwinian,C0,C0,baldwinian,8,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,385,365,335,0,0
C0__baldwinian__s9,C0__baldwinian,C0,C0,baldwinian,9,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,418,398,368,0,0
C0__baldwinian__s10,C0__baldwinian,C0,C0,baldwinian,10,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,411,391,361,0,0
C0__baldwinian__s11,C0__baldwinian,C0,C0,baldwinian,11,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,416,396,366,0,0
C0__baldwinian__s12,C0__baldwinian,C0,C0,baldwinian,12,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,388,368,338,0,0
C0__baldwinian__s13,C0__baldwinian,C0,C0,baldwinian,13,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,372,352,322,0,0
C0__baldwinian__s14,C0__baldwinian,C0,C0,baldwinian,14,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,393,373,343,0,0
C0__baldwinian__s15,C0__baldwinian,C0,C0,baldwinian,15,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,379,359,329,0,0
C0__baldwinian__s16,C0__baldwinian,C0,C0,baldwinian,16,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,388,368,338,0,0
C0__baldwinian__s17,C0__baldwinian,C0,C0,baldwinian,17,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,405,385,355,0,0
C0__baldwinian__s18,C0__baldwinian,C0,C0,baldwinian,18,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,393,373,343,0,0
C0__baldwinian__s19,C0__baldwinian,C0,C0,baldwinian,19,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,401,381,351,0,0
C0__baldwinian__s20,C0__baldwinian,C0,C0,baldwinian,20,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,384,364,334,0,0
C0__baldwinian__s21,C0__baldwinian,C0,C0,baldwinian,21,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,401,381,351,0,0
C0__baldwinian__s22,C0__baldwinian,C0,C0,baldwinian,22,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,427,407,377,0,0
C0__baldwinian__s23,C0__baldwinian,C0,C0,baldwinian,23,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,385,365,335,0,0
C0__baldwinian__s24,C0__baldwinian,C0,C0,baldwinian,24,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,413,393,363,0,0
C0__baldwinian__s25,C0__baldwinian,C0,C0,baldwinian,25,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,413,393,363,0,0
C0__baldwinian__s26,C0__baldwinian,C0,C0,baldwinian,26,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,390,370,340,0,0
C0__baldwinian__s27,C0__baldwinian,C0,C0,baldwinian,27,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,398,378,348,0,0
C0__baldwinian__s28,C0__baldwinian,C0,C0,baldwinian,28,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,401,381,351,0,0
C0__baldwinian__s29,C0__baldwinian,C0,C0,baldwinian,29,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,383,363,333,0,0
C0__baldwinian__s30,C0__baldwinian,C0,C0,baldwinian,30,0.0,-1.0,6.0,0,0.0,0.0,1800,0,50,402,382,352,0,0
